"grupo";"em_que_tipo_de_escola_cursou_o_ensino_medio";"COUNT(*)"
"-1";NULL;"2"
"-1";"Particular";"1"
"-1";"Pública";"1"
"1";"Parte em escola pública e parte em escola privada";"1"
"1";"Particular";"3"
"1";"Pública";"7"
"2";"Parte em escola pública e parte em escola privada";"1"
"2";"Particular";"9"
"2";"Pública";"9"
"3";"Parte em escola pública e parte em escola privada";"2"
"3";"Particular";"5"
"3";"Pública";"11"
"4";"Parte em escola pública e parte em escola privada";"2"
"4";"Particular";"16"
"4";"Pública";"18"
"5";"Parte em escola pública e parte em escola privada";"4"
"5";"Particular";"19"
"5";"Pública";"10"
"6";"Parte em escola pública e parte em escola privada";"4"
"6";"Particular";"47"
"6";"Pública";"17"
"7";"Parte em escola pública e parte em escola privada";"2"
"7";"Particular";"33"
"7";"Pública";"15"
"8";"Particular";"18"
"8";"Pública";"8"
